site;cluster;node (not used by script);mac_prod;mac_bmc;ip_admin;ip_prod
sophia;mercantour3;mercantour3-1;50:9a:4c:6c:38:af;50:9a:4c:6c:32:83;172.17.130.25;172.16.130.25
sophia;mercantour3;mercantour3-2;50:9a:4c:6c:39:82;50:9a:4c:6c:37:75;172.17.130.26;172.16.130.26
sophia;mercantour3;mercantour3-3;50:9a:4c:6c:38:d9;50:9a:4c:6c:33:7f;172.17.130.27;172.16.130.27
sophia;mercantour3;mercantour3-4;50:9a:4c:6c:39:53;50:9a:4c:6c:36:5b;172.17.130.28;172.16.130.28
sophia;mercantour3;mercantour3-5;50:9a:4c:6c:38:9e;50:9a:4c:6c:32:1d;172.17.130.29;172.16.130.29
sophia;mercantour3;mercantour3-6;50:9a:4c:6c:39:31;50:9a:4c:6c:35:8f;172.17.130.30;172.16.130.30
sophia;mercantour3;mercantour3-7;50:9a:4c:6b:5d:b0;50:9a:4c:6b:54:b9;172.17.130.31;172.16.130.31
sophia;mercantour3;mercantour3-8;50:9a:4c:85:c8:15;50:9a:4c:85:c5:28;172.17.130.32;172.16.130.32
sophia;mercantour3;mercantour3-9;50:9a:4c:70:fa:7a;50:9a:4c:70:f6:58;172.17.130.33;172.16.130.33
sophia;mercantour3;mercantour3-10;50:9a:4c:70:fa:3c;50:9a:4c:70:f7:cc;172.17.130.34;172.16.130.34
sophia;mercantour3;mercantour3-11;50:9a:4c:70:fa:7c;50:9a:4c:70:f6:4c;172.17.130.35;172.16.130.35
sophia;mercantour3;mercantour3-12;50:9a:4c:70:aa:e1;50:9a:4c:70:a4:06;172.17.130.36;172.16.130.36
sophia;mercantour3;mercantour3-13;50:9a:4c:6c:38:ad;50:9a:4c:6c:32:77;172.17.130.37;172.16.130.37
sophia;mercantour3;mercantour3-14;50:9a:4c:6c:38:6b;50:9a:4c:6c:30:eb;172.17.130.38;172.16.130.38
sophia;mercantour3;mercantour3-15;50:9a:4c:6c:39:85;50:9a:4c:6c:37:87;172.17.130.39;172.16.130.39
sophia;mercantour3;mercantour3-16;50:9a:4c:6c:39:89;50:9a:4c:6c:37:9f;172.17.130.40;172.16.130.40
sophia;mercantour4;mercantour4-1;24:6e:96:81:28:dc;50:9a:4c:65:5d:38;172.17.130.41;172.16.130.41
sophia;mercantour7;mercantour7-1;F4:02:70:B9:60:34;70:b5:e8:de:e8:76;172.17.130.47;172.16.130.47
sophia;esterel3;esterel3-1;14:18:77:72:09:4c;14:18:77:72:09:4e;172.17.131.3;172.16.131.3
sophia;esterel8;esterel8-1;e0:db:55:fd:39:e7;d0:94:66:1f:64:cd;172.17.131.10;172.16.131.10
sophia;esterel9;esterel9-1;e0:db:55:fd:38:5e;d0:94:66:1f:75:08;172.17.131.11;172.16.131.11
sophia;esterel11;esterel11-1;e0:db:55:fd:39:69;d0:94:66:13:a9:4f;172.17.131.15;172.16.131.15
sophia;esterel13;esterel13-1;e0:db:55:fd:38:7f;50:9a:4c:ab:4e:f4;172.17.131.18;172.16.131.18
sophia;esterel14;esterel14-1;e0:db:55:fd:2f:d0;58:8a:5a:ec:8f:b4;172.17.131.19;172.16.131.19
sophia;esterel15;esterel15-1;e0:db:55:fd:39:81;54:48:10:f8:5a:f0;172.17.131.20;172.16.131.20
sophia;esterel16;esterel16-1;34:17:eb:e7:25:01;4c:d9:8f:0c:35:30;172.17.131.21;172.16.131.21
sophia;esterel17;esterel17-1;e0:db:55:fd:39:ab;50:9a:4c:aa:fe:f2;172.17.131.22;172.16.131.22
sophia;esterel18;esterel18-1;00:26:6c:f8:58:a2;4c:d9:8f:15:27:46;172.17.131.23;172.16.131.23
sophia;esterel19;esterel19-1;34:17:eb:e8:81:e6;4c:d9:8f:2c:d6:24;172.17.131.24;172.16.131.24
sophia;esterel20;esterel20-1;34:17:eb:e8:83:7e;4c:d9:8f:2c:da:44;172.17.131.25;172.16.131.25
sophia;esterel20;esterel20-2;34:17:eb:e8:83:75;4c:d9:8f:2c:d3:90;172.17.131.26;172.16.131.26
sophia;esterel21;esterel21-1;34:17:eb:e8:83:72;f4:02:70:9a:c2:c4;172.17.131.27;172.16.131.27
sophia;esterel22;esterel22-1;34:17:eb:e8:83:84;f4:02:70:9d:f4:e8;172.17.131.28;172.16.131.28
sophia;esterel23;esterel23-1;34:17:eb:e8:83:00;f4:02:70:9d:78:36;172.17.131.29;172.16.131.29
sophia;esterel24;esterel24-1;34:17:eb:e8:82:bb;f4:02:70:9d:75:a2;172.17.131.30;172.16.131.30
sophia;esterel24;esterel24-2;50:9a:4c:6c:38:af;70:b5:e8:c9:ff:e2;172.17.131.31;172.16.131.31
sophia;esterel25;esterel25-1;50:9a:4c:6c:39:82;f4:02:70:ed:3f:24;172.17.131.32;172.16.131.32
sophia;esterel26;esterel26-1;50:9a:4c:6c:38:d9;70:b5:e8:e1:41:24;172.17.131.33;172.16.131.33
sophia;esterel28;esterel28-1;50:9a:4c:6c:38:9e;0c:c4:7a:e7:10:d3;172.17.131.35;172.16.131.35
sophia;esterel29;esterel29-1;50:9a:4c:6c:39:31;4c:d9:8f:1a:3c:b8;172.17.131.36;172.16.131.36
sophia;esterel30;esterel30-1;50:9a:4c:6b:5d:b0;f4:02:70:b3:66:70;172.17.131.37;172.16.131.37
sophia;esterel30;esterel30-2;50:9a:4c:85:c8:15;f4:02:70:b3:66:28;172.17.131.38;172.16.131.38
sophia;esterel30;esterel30-3;50:9a:4c:70:fa:7a;f4:02:70:b3:5d:b2;172.17.131.39;172.16.131.39
sophia;esterel30;esterel30-4;50:9a:4c:70:fa:3c;f4:02:70:ba:d8:4e;172.17.131.40;172.16.131.40
sophia;esterel31;esterel31-1;50:9a:4c:70:fa:7c;f4:02:70:ed:22:5a;172.17.131.41;172.16.131.41
sophia;esterel31;esterel31-2;50:9a:4c:70:aa:e1;f4:02:70:ed:1c:2a;172.17.131.42;172.16.131.42
sophia;esterel31;esterel31-3;50:9a:4c:6c:38:ad;f4:02:70:ed:2a:84;172.17.131.43;172.16.131.43
sophia;esterel31;esterel31-4;50:9a:4c:6c:38:6b;f4:02:70:ed:2e:a4;172.17.131.44;172.16.131.44
sophia;esterel32;esterel32-1;50:9a:4c:6c:39:85;70:b5:e8:d9:89:bc;172.17.131.45;172.16.131.45
sophia;esterel33;esterel33-1;50:9a:4c:6c:39:89;b0:7b:25:d0:f8:f2;172.17.131.46;172.16.131.46
sophia;esterel34;esterel34-1;24:6e:96:81:28:dc;b0:7b:25:e1:14:10;172.17.131.47;172.16.131.47
sophia;esterel35;esterel35-1;6c:2b:59:9c:4a:32;b0:7b:25:df:e0:d4;172.17.131.48;172.16.131.48
sophia;esterel35;esterel35-2;6c:2b:59:9c:3f:3a;b0:7b:25:df:df:60;172.17.131.49;172.16.131.49
sophia;esterel36;esterel36-1;6c:2b:59:9c:4a:6d;5c:ba:2c:3e:a2:7c;172.17.131.50;172.16.131.50
sophia;esterel37;esterel37-1;6c:2b:59:9a:05:c4;5c:ed:8c:32:15:b8;172.17.131.51;172.16.131.51
sophia;esterel38;esterel38-1;F4:02:70:B9:2B:B6;5c:ed:8c:3b:ee:14;172.17.131.52;172.16.131.52
sophia;esterel39;esterel39-1;F4:02:70:B9:60:34;5c:ed:8c:38:09:c8;172.17.131.53;172.16.131.53
sophia;esterel40;esterel40-1;50:7c:6f:4f:43:06;5c:ed:8c:b3:08:68;172.17.131.54;172.16.131.54
sophia;esterel40;esterel40-2;50:7c:6f:64:6e:6a;5c:ed:8c:bf:cd:2c;172.17.131.55;172.16.131.55
